display  D   display_settings.c:529  _al_score_display_settings       [   0.02114] Score is : 817
display  D   display_settings.c:214  debug_display_settings           [   0.02116] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02118] Score is : 825
display  D   display_settings.c:214  debug_display_settings           [   0.02121] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.02123] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.02125] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02128] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02130] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.02133] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02136] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02138] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02140] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02143] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02145] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02148] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02150] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02153] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02155] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02158] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02160] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02163] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02165] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
